x,y
3.0,2629.162850666298
4.0,2357.7110148568268
5.0,3172.895402080647
6.0,2968.2403574050195
7.0,3674.13542371273
8.0,3539.850385193391
9.0,3786.850385193391
10.0,4087.850385193391
11.0,4787.071240916475
12.0,6283.55671875624
13.0,5465.467891120076
14.0,6042.467891120076
15.0,6703.467891120076
16.0,6738.17824451577
17.0,6715.274982549469
18.0,6909.803071596549
19.0,7966.803071596549
20.0,9137.803071596549
21.0,10428.803071596549
22.0,10461.577457627267
23.0,9840.001177766255
24.0,10285.334641962505
25.0,10713.626472207818
26.0,11101.287396808935
27.0,11408.001962943757
