x,y
0.0,129947.61066517355
1.0,108393.84222097795
2.0,108783.63546376562
3.0,124156.69188516973
4.0,110816.61500903976
5.0,81526.70341664396
6.0,82637.70341664396
7.0,70804.72948690433
8.0,57355.79378212829
9.0,60500.79378212829
10.0,91055.10740488335
11.0,84333.17463593984
12.0,65862.94276538446
13.0,93348.39927610784
14.0,104283.39927610784
15.0,110062.25650950993
16.0,126213.25650950993
17.0,132585.2940335472
18.0,142560.55810938252
19.0,143030.2444866275
20.0,174269.2444866275
21.0,187860.9000474559
22.0,178774.5845404481
23.0,191074.34863052276
24.0,216887.27533650358
