x,y
0.0,1.0
1.0,2.718281828459045
2.0,7.38905609893065
3.0,20.085536923187668
4.0,2.5457452929103397E10
5.0,148.4131591025766
6.0,403.4287934927351
7.0,1096.6331584284585
8.0,2980.9579870417283
9.0,8103.083927575384
10.0,2.5808158708131695E10
11.0,59874.14171519782
12.0,162754.79141900392
13.0,442413.3920089205
14.0,7.198753009933859E9
15.0,2.5815792981015863E9
16.0,8886110.520507872
17.0,4.322078011654572E9
18.0,6.565996913733051E7
19.0,5.576414942617471E9
20.0,4.851651954097903E8
21.0,1.3188157344832146E9
22.0,3.584912846131592E9
23.0,2.376567117588617E10
24.0,2.648912212984347E10
