x,y
0.0,111360.67364916652
1.0,92904.7280409721
2.0,82242.21625731185
3.0,72262.06422514787
4.0,64688.05708902033
5.0,73567.05617666303
6.0,74678.05617666303
7.0,45872.93119184745
8.0,58894.587595772115
9.0,28095.10863030997
10.0,32294.10863030997
11.0,35889.42579082659
12.0,42904.42579082659
13.0,51729.42579082659
14.0,65327.56911834989
15.0,78696.56911834989
16.0,108066.089620025
17.0,116644.43321610033
18.0,141434.71250038847
19.0,168259.71250038847
20.0,194506.66057139443
21.0,210627.99314281874
22.0,228786.13502036428
23.0,233201.4439010093
24.0,253777.5326812112
